Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-09-23 04:00:00-04:00,228.19,228.48,227.44,227.75,0,0.0,0.0
2024-09-23 05:00:00-04:00,227.69,227.87,227.35,227.6,0,0.0,0.0
2024-09-23 06:00:00-04:00,227.6,228.37,227.57,228.31,0,0.0,0.0
2024-09-23 07:00:00-04:00,228.31,228.37,227.85,227.92,0,0.0,0.0
2024-09-23 08:00:00-04:00,227.97,228.6,227.3685,227.89,0,0.0,0.0
2024-09-23 09:00:00-04:00,227.885,231.445,226.5,227.375,0,0.0,0.0
2024-09-23 09:30:00-04:00,227.33999633789062,228.02310180664062,225.86000061035156,228.00999450683594,13371890,0.0,0.0
2024-09-23 10:30:00-04:00,228.00999450683594,229.4499969482422,227.6300048828125,228.6533966064453,6527851,0.0,0.0
2024-09-23 11:30:00-04:00,228.66000366210938,228.89999389648438,226.92999267578125,226.94000244140625,3575768,0.0,0.0
2024-09-23 12:30:00-04:00,226.94000244140625,227.41000366210938,226.62010192871094,226.74000549316406,3228628,0.0,0.0
2024-09-23 13:30:00-04:00,226.74899291992188,227.17999267578125,226.50999450683594,226.67999267578125,2921492,0.0,0.0
2024-09-23 14:30:00-04:00,226.69000244140625,226.75999450683594,226.0,226.2899932861328,3625613,0.0,0.0
2024-09-23 15:30:00-04:00,226.27999877929688,226.6999969482422,225.80999755859375,226.4499969482422,4381769,0.0,0.0
2024-09-23 16:00:00-04:00,226.47,226.65,226.26,226.2998,0,0.0,0.0
2024-09-23 17:00:00-04:00,226.295,226.47,226.22,226.25,0,0.0,0.0
2024-09-23 18:00:00-04:00,226.24,226.299,226.08,226.18,0,0.0,0.0
2024-09-23 19:00:00-04:00,226.1611,226.47,226.0,226.23,0,0.0,0.0
