Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-09-18 04:00:00-04:00,5.36,5.36,5.34,5.35,0,0.0,0.0,0.0
2024-09-18 05:00:00-04:00,5.35,5.35,5.35,5.35,0,0.0,0.0,0.0
2024-09-18 06:00:00-04:00,5.35,5.35,5.35,5.35,0,0.0,0.0,0.0
2024-09-18 07:00:00-04:00,5.35,5.35,5.28,5.28,0,0.0,0.0,0.0
2024-09-18 08:00:00-04:00,5.28,5.3484,5.28,5.3,0,0.0,0.0,0.0
2024-09-18 09:00:00-04:00,5.3,5.35,5.3,5.3001,0,0.0,0.0,0.0
2024-09-18 09:30:00-04:00,5.320000171661377,5.320000171661377,5.260000228881836,5.288300037384033,1207407,0.0,0.0,0.0
2024-09-18 10:30:00-04:00,5.280099868774414,5.300000190734863,5.269999980926514,5.281899929046631,854936,0.0,0.0,0.0
2024-09-18 11:30:00-04:00,5.280099868774414,5.300000190734863,5.244999885559082,5.295000076293945,765667,0.0,0.0,0.0
2024-09-18 12:30:00-04:00,5.295000076293945,5.3180999755859375,5.275000095367432,5.306399822235107,331579,0.0,0.0,0.0
2024-09-18 13:30:00-04:00,5.304999828338623,5.409999847412109,5.300000190734863,5.36899995803833,1394653,0.0,0.0,0.0
2024-09-18 14:30:00-04:00,5.369999885559082,5.447700023651123,5.320000171661377,5.364999771118164,1575078,0.0,0.0,0.0
2024-09-18 15:30:00-04:00,5.364999771118164,5.369999885559082,5.320000171661377,5.320000171661377,654376,0.0,0.0,0.0
2024-09-18 16:00:00-04:00,5.33,5.38,5.26,5.38,0,0.0,0.0,0.0
2024-09-18 17:00:00-04:00,5.38,5.38,5.3207,5.3214,0,0.0,0.0,0.0
2024-09-18 18:00:00-04:00,5.3214,5.4,5.3214,5.4,0,0.0,0.0,0.0
2024-09-18 19:00:00-04:00,5.4,5.48,5.3984,5.48,0,0.0,0.0,0.0
