Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-03 04:00:00-04:00,166.43,166.79,166.2,166.2,0,0.0,0.0
2024-10-03 05:00:00-04:00,166.2,166.43,166.13,166.41,0,0.0,0.0
2024-10-03 06:00:00-04:00,166.47,166.74,166.47,166.47,0,0.0,0.0
2024-10-03 07:00:00-04:00,166.47,166.85,166.4,166.68,0,0.0,0.0
2024-10-03 08:00:00-04:00,166.64,166.79,165.8012,166.52,0,0.0,0.0
2024-10-03 09:00:00-04:00,166.46,167.31,165.66,165.7,0,0.0,0.0
2024-10-03 09:30:00-04:00,165.7100067138672,167.08999633789062,165.3699951171875,166.0399932861328,2280478,0.0,0.0
2024-10-03 10:30:00-04:00,166.02999877929688,166.94000244140625,165.80999755859375,166.86000061035156,1120269,0.0,0.0
2024-10-03 11:30:00-04:00,166.85000610351562,167.85000610351562,166.8300018310547,167.5749969482422,796293,0.0,0.0
2024-10-03 12:30:00-04:00,167.58999633789062,167.91000366210938,167.02000427246094,167.45599365234375,983413,0.0,0.0
2024-10-03 13:30:00-04:00,167.42999267578125,167.53199768066406,167.11000061035156,167.42210388183594,630995,0.0,0.0
2024-10-03 14:30:00-04:00,167.4199981689453,167.47999572753906,167.13999938964844,167.24000549316406,664134,0.0,0.0
2024-10-03 15:30:00-04:00,167.23500061035156,167.42999267578125,166.8699951171875,167.24000549316406,1379807,0.0,0.0
2024-10-03 16:00:00-04:00,167.21,167.87,167.01,167.15,0,0.0,0.0
2024-10-03 17:00:00-04:00,167.2,169.6791,156.1304,167.1,0,0.0,0.0
2024-10-03 18:00:00-04:00,167.02,167.37,166.88,167.262,0,0.0,0.0
2024-10-03 19:00:00-04:00,167.5,167.6,167.01,167.17,0,0.0,0.0
